group_id	label	binary_label	subtype	label_type
cea_g_f4549b7b2e322c186ef1	Other	0	Benign	controlled_task_objective
cea_g_6700c78c30d0eea5d3d7	Malicious	1	Malicious	controlled_task_objective
cea_g_41194eed3476ee898755	Other	0	Benign	controlled_task_objective
cea_g_448c0d4c3125fbab2104	Other	0	Normal	controlled_task_objective
cea_g_f33be6aa4529557fcdab	Malicious	1	Malicious	controlled_task_objective
cea_g_61a7319865341a0b14c4	Other	0	Benign	controlled_task_objective
cea_g_eb0f58f09dcf23df920e	Malicious	1	Malicious	controlled_task_objective
cea_g_28976755c4e50ffc8158	Other	0	Normal	controlled_task_objective
cea_g_56fc91a11a4c002a17a0	Malicious	1	Malicious	controlled_task_objective
cea_g_016d79664db96d6b7366	Malicious	1	Malicious	controlled_task_objective
cea_g_da1c895635cbf6a46050	Other	0	Benign	controlled_task_objective
cea_g_b30f83b2bae5509683a3	Malicious	1	Malicious	controlled_task_objective
cea_g_b1d9a41d46d82d209cf2	Other	0	Benign	controlled_task_objective
cea_g_51b3830951e4ab0e5c9d	Malicious	1	Malicious	controlled_task_objective
cea_g_d78510b47ed140c3e281	Malicious	1	Malicious	controlled_task_objective
cea_g_2f5653783a9ffd49d212	Malicious	1	Malicious	controlled_task_objective
cea_g_faa792d284de02474b92	Other	0	Normal	controlled_task_objective
cea_g_50ffece5994f011766ef	Other	0	Benign	controlled_task_objective
cea_g_bd2c0c53c9e70b3cde10	Malicious	1	Malicious	controlled_task_objective
cea_g_847eb2ee3ebc4d88de85	Malicious	1	Malicious	controlled_task_objective
cea_g_ef0e842150e063aed264	Malicious	1	Malicious	controlled_task_objective
cea_g_18e2a4c465bcbb7bef01	Malicious	1	Malicious	controlled_task_objective
cea_g_d7d881e475b7a698ea0d	Other	0	Benign	controlled_task_objective
cea_g_76835837fa44a75da473	Other	0	Benign	controlled_task_objective
cea_g_23eeb21d65fe4dd22070	Other	0	Benign	controlled_task_objective
cea_g_7aa32af71b091f067fe4	Malicious	1	Malicious	controlled_task_objective
cea_g_fb0eb6eae2d372a4d008	Malicious	1	Malicious	controlled_task_objective
cea_g_66b7d67f9501ab669e6c	Malicious	1	Malicious	controlled_task_objective
cea_g_04b426bcd10cb8f0c25a	Other	0	Normal	controlled_task_objective
cea_g_aaa7bfae8bd4c17317a2	Malicious	1	Malicious	controlled_task_objective
cea_g_d020b738634df513ff44	Other	0	Benign	controlled_task_objective
cea_g_9c91cfbb598c99f837a0	Malicious	1	Malicious	controlled_task_objective
cea_g_b3137eeabd864f4af275	Other	0	Normal	controlled_task_objective
cea_g_ca8752d6414f68a3ed1e	Malicious	1	Malicious	controlled_task_objective
cea_g_1976586e317c152820eb	Malicious	1	Malicious	controlled_task_objective
cea_g_22f5efc4464b6a7d20a3	Malicious	1	Malicious	controlled_task_objective
cea_g_1501da019c365e9da427	Other	0	Benign	controlled_task_objective
cea_g_fa4c2c8946365769a878	Other	0	Benign	controlled_task_objective
cea_g_473681a51b0fecc94ffa	Malicious	1	Malicious	controlled_task_objective
cea_g_0e77e58aec0a0fd66205	Other	0	Normal	controlled_task_objective
cea_g_40f5b983bf809d0aecc9	Other	0	Benign	controlled_task_objective
cea_g_8766ff052b5d5215715e	Other	0	Normal	controlled_task_objective
cea_g_44224879a24016ef091b	Malicious	1	Malicious	controlled_task_objective
cea_g_cafd5eed90d7e21534e7	Other	0	Benign	controlled_task_objective
cea_g_904b9e7406ce94681c3b	Malicious	1	Malicious	controlled_task_objective
cea_g_ef4fb8b498fdc8e9030c	Other	0	Benign	controlled_task_objective
cea_g_cb3810bebbf284f72369	Other	0	Normal	controlled_task_objective
cea_g_e025eb5fbafe8b203b56	Malicious	1	Malicious	controlled_task_objective
cea_g_a93b1fe6404c8c516387	Other	0	Benign	controlled_task_objective
cea_g_2b18ef55fbf471f2d81d	Other	0	Benign	controlled_task_objective
cea_g_e31e50511a2d17d553b0	Malicious	1	Malicious	controlled_task_objective
cea_g_8c4c528f138d36c45f1a	Malicious	1	Malicious	controlled_task_objective
cea_g_c51bd913f1400235448b	Other	0	Normal	controlled_task_objective
cea_g_16e889ac542feb61ba30	Other	0	Benign	controlled_task_objective
cea_g_949efe22d9ec6ee24136	Malicious	1	Malicious	controlled_task_objective
cea_g_9e34757dbb19b37271dd	Malicious	1	Malicious	controlled_task_objective
cea_g_b84f2a7fa35de4573144	Malicious	1	Malicious	controlled_task_objective
cea_g_82f2f2fde9d50a071484	Other	0	Benign	controlled_task_objective
cea_g_793a1c378c7f2974f831	Malicious	1	Malicious	controlled_task_objective
cea_g_d6dcbe8ace66c49c0fac	Other	0	Benign	controlled_task_objective
cea_g_e029718fc68b6081f8eb	Malicious	1	Malicious	controlled_task_objective
cea_g_71b788827c14448dc97b	Other	0	Benign	controlled_task_objective
cea_g_349d87e772c348b34cad	Other	0	Normal	controlled_task_objective
cea_g_75bf186af1ba1c6e6152	Other	0	Normal	controlled_task_objective
cea_g_88430bec20095133d729	Other	0	Normal	controlled_task_objective
cea_g_639c9b9bf999a44640ae	Malicious	1	Malicious	controlled_task_objective
cea_g_10228c5a6d28d9f652d9	Malicious	1	Malicious	controlled_task_objective
cea_g_b462dcc29a871bde697d	Malicious	1	Malicious	controlled_task_objective
cea_g_038bccb77d4433c2234d	Malicious	1	Malicious	controlled_task_objective
cea_g_9148303d237a957f220b	Malicious	1	Malicious	controlled_task_objective
cea_g_d7dc3a24a51d1c5ea3ea	Other	0	Benign	controlled_task_objective
cea_g_6971df31e28a73f3a99c	Malicious	1	Malicious	controlled_task_objective
cea_g_2c8395d0bbe51f305d66	Malicious	1	Malicious	controlled_task_objective
cea_g_da883808933c35901384	Malicious	1	Malicious	controlled_task_objective
cea_g_2c1264719e6aa5d7696d	Other	0	Benign	controlled_task_objective
cea_g_b37784b0349e4237e892	Malicious	1	Malicious	controlled_task_objective
cea_g_c1a4540e198510b96e30	Malicious	1	Malicious	controlled_task_objective
cea_g_0b99e37707212edafa2d	Malicious	1	Malicious	controlled_task_objective
cea_g_5d83f773a537544290c1	Malicious	1	Malicious	controlled_task_objective
cea_g_7d49418bad7bcb34ba74	Malicious	1	Malicious	controlled_task_objective
cea_g_9cf7c6bd9e6631c621a4	Malicious	1	Malicious	controlled_task_objective
cea_g_0882fa49c923234a010b	Other	0	Benign	controlled_task_objective
cea_g_84dc86ab51efc22b3ef4	Malicious	1	Malicious	controlled_task_objective
cea_g_1d9a5d4935dc29d82d4d	Other	0	Benign	controlled_task_objective
cea_g_4bf9ee8fb30f40adfbe5	Other	0	Benign	controlled_task_objective
cea_g_6fff81a6bfdac8fdbd62	Other	0	Benign	controlled_task_objective
cea_g_c5ae6662783033b49ebb	Other	0	Benign	controlled_task_objective
cea_g_4409c523340302fd3467	Malicious	1	Malicious	controlled_task_objective
cea_g_c3f50d10914b3fa37b85	Malicious	1	Malicious	controlled_task_objective
cea_g_cc94d4836b84c1732fdb	Malicious	1	Malicious	controlled_task_objective
cea_g_ee075d10ce614d0c8093	Malicious	1	Malicious	controlled_task_objective
cea_g_4da255c65ab075928709	Other	0	Benign	controlled_task_objective
cea_g_cba2d25facf7a83c05a0	Other	0	Normal	controlled_task_objective
cea_g_6eb3e2b5b9ba49922c83	Other	0	Normal	controlled_task_objective
cea_g_db0215b140e0abc97220	Other	0	Normal	controlled_task_objective
cea_g_e03f1767f19735b0aeb8	Malicious	1	Malicious	controlled_task_objective
cea_g_ae130ec90bec8c53694f	Malicious	1	Malicious	controlled_task_objective
cea_g_df9a7ffec8ef4459d7fc	Malicious	1	Malicious	controlled_task_objective
cea_g_5ff494658b0cdb62a1ec	Malicious	1	Malicious	controlled_task_objective
cea_g_18057e844878feda1eda	Other	0	Normal	controlled_task_objective
cea_g_7308645eef030c4c2753	Other	0	Benign	controlled_task_objective
cea_g_1dbd4e88c22d444a6a79	Malicious	1	Malicious	controlled_task_objective
cea_g_c3ef2e6ecd2f2162093d	Malicious	1	Malicious	controlled_task_objective
cea_g_73527a1814d98c17a0bd	Other	0	Normal	controlled_task_objective
cea_g_7dd088d8ec4f85e7ff45	Malicious	1	Malicious	controlled_task_objective
cea_g_59b222b54fc2d950343a	Malicious	1	Malicious	controlled_task_objective
cea_g_46a31bdce322d1e204ae	Other	0	Benign	controlled_task_objective
cea_g_fb4ffbebc4b97d322c93	Malicious	1	Malicious	controlled_task_objective
cea_g_30971ff2e2165dfdd5ef	Malicious	1	Malicious	controlled_task_objective
cea_g_d79c2ad05d2e131056e6	Other	0	Benign	controlled_task_objective
cea_g_989ed6a3713e68159488	Malicious	1	Malicious	controlled_task_objective
cea_g_066e104c02b80e4f415c	Malicious	1	Malicious	controlled_task_objective
cea_g_0d8e5d0c1cfc13658b60	Malicious	1	Malicious	controlled_task_objective
cea_g_c106252918a7052cb901	Other	0	Normal	controlled_task_objective
cea_g_5891af1565c5d06d5d59	Malicious	1	Malicious	controlled_task_objective
cea_g_d5c600af0957099f7dd2	Other	0	Normal	controlled_task_objective
cea_g_6f7a57a9514bdfefd62f	Malicious	1	Malicious	controlled_task_objective
cea_g_908106368df7b2102c28	Other	0	Benign	controlled_task_objective
cea_g_1166f2bb0d7ab0dc053d	Malicious	1	Malicious	controlled_task_objective
cea_g_a128f503052d3c17b667	Other	0	Benign	controlled_task_objective
cea_g_f5f640c69e422b73dfc8	Malicious	1	Malicious	controlled_task_objective
cea_g_ff0a22b1c2a370f2ed28	Other	0	Benign	controlled_task_objective
cea_g_91ac5bb84cf030cc5605	Malicious	1	Malicious	controlled_task_objective
cea_g_07f43fe7fe34066891fb	Malicious	1	Malicious	controlled_task_objective
cea_g_ad91506f07dda0a992a9	Other	0	Normal	controlled_task_objective
cea_g_f4f8b46ed31787d72558	Other	0	Benign	controlled_task_objective
cea_g_3d410e7d535959571869	Malicious	1	Malicious	controlled_task_objective
cea_g_2ebc9ce2d20aaa4be682	Other	0	Normal	controlled_task_objective
cea_g_fe4efae6cb9a85dabfec	Other	0	Benign	controlled_task_objective
cea_g_10dc2ca759e72114e16c	Other	0	Normal	controlled_task_objective
cea_g_66d667ae458df505bf51	Other	0	Normal	controlled_task_objective
cea_g_f444230e8d81d38f2a62	Other	0	Benign	controlled_task_objective
cea_g_cbeee74d6130fa0c026b	Malicious	1	Malicious	controlled_task_objective
cea_g_21c300daa599c6966481	Other	0	Benign	controlled_task_objective
cea_g_6cc99478c6192649c3c9	Malicious	1	Malicious	controlled_task_objective
cea_g_6bc1ff2800412eb0b950	Other	0	Benign	controlled_task_objective
cea_g_0cb401a0cf4da870492c	Other	0	Normal	controlled_task_objective
cea_g_7e9f758cb9dd1525b46b	Other	0	Benign	controlled_task_objective
cea_g_7f042e61e6750d7070b2	Other	0	Benign	controlled_task_objective
cea_g_0df6ba948e44c9be0aff	Malicious	1	Malicious	controlled_task_objective
cea_g_df2df5f07673229dbb25	Other	0	Benign	controlled_task_objective
cea_g_3b94918301c3bb83423b	Other	0	Benign	controlled_task_objective
cea_g_073e29fe45b8a7250489	Other	0	Benign	controlled_task_objective
cea_g_4b5cc408d4f6efcef054	Other	0	Normal	controlled_task_objective
cea_g_566084d1de9b82f661eb	Malicious	1	Malicious	controlled_task_objective
cea_g_970dc99eaabc73ad7383	Other	0	Normal	controlled_task_objective
cea_g_e6a6e77f7def309f09b9	Other	0	Benign	controlled_task_objective
cea_g_69f0e1a9d0fe86f699f0	Other	0	Benign	controlled_task_objective
cea_g_b07662f590595d658b03	Malicious	1	Malicious	controlled_task_objective
cea_g_7fa9d4eda3b7e7276286	Other	0	Benign	controlled_task_objective
cea_g_2b7796c4dd8f953364ae	Other	0	Benign	controlled_task_objective
cea_g_272d3dd47e4cf26d254f	Malicious	1	Malicious	controlled_task_objective
cea_g_2dd472c5681004647195	Other	0	Normal	controlled_task_objective
cea_g_8fd5bd728abb8e81dd48	Other	0	Benign	controlled_task_objective
cea_g_14b96da19c2f547492f8	Malicious	1	Malicious	controlled_task_objective
cea_g_927df1f6fa70b57b1185	Other	0	Benign	controlled_task_objective
cea_g_55b84e78dd4d29fea6bc	Other	0	Benign	controlled_task_objective
cea_g_326fe065d148412dca74	Other	0	Normal	controlled_task_objective
cea_g_cdade68f6d991405298e	Other	0	Normal	controlled_task_objective
cea_g_20adaa6f4873ac0e0cda	Malicious	1	Malicious	controlled_task_objective
cea_g_a83eafda78523538707a	Malicious	1	Malicious	controlled_task_objective
cea_g_ac8dc47d3ba8e165e994	Other	0	Normal	controlled_task_objective
cea_g_50e65397565e8dcbdfe2	Malicious	1	Malicious	controlled_task_objective
cea_g_b20634a4488f544ba2e3	Other	0	Normal	controlled_task_objective
cea_g_237abe936c3f1690716b	Other	0	Benign	controlled_task_objective
cea_g_4bb4e8d76dede3116408	Malicious	1	Malicious	controlled_task_objective
cea_g_a1a6c07783f2daaf1446	Other	0	Benign	controlled_task_objective
cea_g_4513277558522a0d9f03	Malicious	1	Malicious	controlled_task_objective
cea_g_0c4d6fb29955f481c043	Malicious	1	Malicious	controlled_task_objective
cea_g_0babff296139880eb686	Other	0	Benign	controlled_task_objective
cea_g_4f9d852c0ac1eb462b0b	Malicious	1	Malicious	controlled_task_objective
cea_g_70d9de53620f5a1bd439	Malicious	1	Malicious	controlled_task_objective
cea_g_3cd6ac794827262ad922	Other	0	Benign	controlled_task_objective
cea_g_62e79cfaead2d4dab5b2	Malicious	1	Malicious	controlled_task_objective
cea_g_0a4e548b70abe9cc2f65	Malicious	1	Malicious	controlled_task_objective
cea_g_485689b44ab7ee75b7bd	Other	0	Benign	controlled_task_objective
cea_g_b4aecbdb2b0b0a2395f7	Malicious	1	Malicious	controlled_task_objective
cea_g_8deb78261b566ed98784	Other	0	Benign	controlled_task_objective
cea_g_b3ef3ff566969965cd20	Malicious	1	Malicious	controlled_task_objective
cea_g_233f3d3e15ce7d66d621	Other	0	Benign	controlled_task_objective
cea_g_8a67c6ae190ee9211bc6	Malicious	1	Malicious	controlled_task_objective
cea_g_0affcc590ed8b8578760	Malicious	1	Malicious	controlled_task_objective
cea_g_24dc22b5b583196dcdbf	Malicious	1	Malicious	controlled_task_objective
cea_g_37580b5bb1b7adc97006	Other	0	Benign	controlled_task_objective
cea_g_dbd9bde9ff4a65b2581a	Malicious	1	Malicious	controlled_task_objective
cea_g_822814fe09f0355af1db	Malicious	1	Malicious	controlled_task_objective
cea_g_7a57ee4f818d618a725f	Other	0	Normal	controlled_task_objective
cea_g_12b3cc3d03715c54b211	Other	0	Normal	controlled_task_objective
cea_g_8758774cc40f66c0e034	Malicious	1	Malicious	controlled_task_objective
cea_g_e4c7d03b9f42e338dc99	Malicious	1	Malicious	controlled_task_objective
cea_g_8b339821be9987eacf72	Other	0	Normal	controlled_task_objective
cea_g_d1e51336b3bdf91b3caf	Other	0	Normal	controlled_task_objective
cea_g_4fa3d0ebc23d6e921be6	Other	0	Benign	controlled_task_objective
cea_g_611453ed3a02ec1e8136	Malicious	1	Malicious	controlled_task_objective
cea_g_6d862d4b085e4aa8c22c	Malicious	1	Malicious	controlled_task_objective
cea_g_fe1833caf18e670b1aea	Other	0	Normal	controlled_task_objective
cea_g_053ffdfb793b909e159c	Malicious	1	Malicious	controlled_task_objective
cea_g_3e95f045958b320125df	Other	0	Benign	controlled_task_objective
cea_g_865dc617a2f6e974b451	Malicious	1	Malicious	controlled_task_objective
cea_g_bb4cfef49c2833ef46f5	Other	0	Normal	controlled_task_objective
cea_g_22940ffa93b0fa88fb9a	Malicious	1	Malicious	controlled_task_objective
cea_g_bef6aca62367e1cd2383	Other	0	Benign	controlled_task_objective
cea_g_161312c2748210fe35b4	Malicious	1	Malicious	controlled_task_objective
cea_g_ae1a92f8ae1f22c00b39	Malicious	1	Malicious	controlled_task_objective
cea_g_2160630ddb4b593642cf	Other	0	Benign	controlled_task_objective
cea_g_286fde03e7afab39c85e	Other	0	Benign	controlled_task_objective
cea_g_3dc5bd93396c6f6c3654	Other	0	Normal	controlled_task_objective
cea_g_f78dcab85ea3bfdbab8e	Other	0	Benign	controlled_task_objective
cea_g_df79b1e1f5769a01232e	Malicious	1	Malicious	controlled_task_objective
cea_g_6583aee92fb4d4ec7660	Malicious	1	Malicious	controlled_task_objective
cea_g_0c01e0bacc17112e267a	Malicious	1	Malicious	controlled_task_objective
cea_g_44493d773873661a9674	Other	0	Benign	controlled_task_objective
cea_g_106ea733679f5e82cbf1	Malicious	1	Malicious	controlled_task_objective
cea_g_7ba0806e8333c537e600	Other	0	Benign	controlled_task_objective
cea_g_e952c81c4f38a9ad8d63	Malicious	1	Malicious	controlled_task_objective
cea_g_1b1381fd01e15c425175	Other	0	Benign	controlled_task_objective
cea_g_8d62b0404ccd3474fb6c	Other	0	Normal	controlled_task_objective
cea_g_637b98bd0574b0ef8707	Malicious	1	Malicious	controlled_task_objective
cea_g_2acf16f58cff81d456a2	Malicious	1	Malicious	controlled_task_objective
cea_g_e90b9086c951d72b9c1d	Other	0	Benign	controlled_task_objective
cea_g_32723fff4a49d46157f1	Malicious	1	Malicious	controlled_task_objective
cea_g_e453297cfcc2f6d0b446	Malicious	1	Malicious	controlled_task_objective
cea_g_0e7e5def6e8e2389f3de	Malicious	1	Malicious	controlled_task_objective
cea_g_7549fdadc0e42b8ef310	Other	0	Normal	controlled_task_objective
cea_g_b2717ec32b024b8fdf47	Malicious	1	Malicious	controlled_task_objective
cea_g_c7efbb7967527429c6de	Other	0	Benign	controlled_task_objective
cea_g_d6de9e4853ff83f0da17	Malicious	1	Malicious	controlled_task_objective
cea_g_086766733508bacc41bc	Other	0	Benign	controlled_task_objective
cea_g_9d968eaaf1825182885c	Other	0	Benign	controlled_task_objective
cea_g_448d7184a8b9a2624e08	Malicious	1	Malicious	controlled_task_objective
cea_g_58b6ebe81e94886c6965	Malicious	1	Malicious	controlled_task_objective
cea_g_773bd0861d64d632040e	Other	0	Benign	controlled_task_objective
cea_g_5b53a952e2b0df32c2e4	Other	0	Benign	controlled_task_objective
cea_g_4fc06b659a3de14b8fa2	Other	0	Normal	controlled_task_objective
cea_g_175451602be59791d6d0	Malicious	1	Malicious	controlled_task_objective
cea_g_3b183327f803995cde5d	Malicious	1	Malicious	controlled_task_objective
cea_g_602058961e41213ed473	Other	0	Normal	controlled_task_objective
cea_g_dd7450aa29351b3a5ed2	Other	0	Benign	controlled_task_objective
cea_g_aa7571c73abf0247ffba	Malicious	1	Malicious	controlled_task_objective
cea_g_28412141fdfea63b0689	Malicious	1	Malicious	controlled_task_objective
cea_g_9804f6d2783efba0e872	Other	0	Normal	controlled_task_objective
cea_g_d3ca0ee5a0607750c461	Malicious	1	Malicious	controlled_task_objective
cea_g_810efce02cb3e5d381a7	Other	0	Benign	controlled_task_objective
cea_g_d8a510ce6c70de57c4fa	Other	0	Normal	controlled_task_objective
cea_g_153f5d5d0298bdc65286	Other	0	Normal	controlled_task_objective
cea_g_4a83e2ffef764523a5e1	Malicious	1	Malicious	controlled_task_objective
cea_g_1484a18b6e3ad8bfd4f3	Other	0	Benign	controlled_task_objective
cea_g_814c86aa531a5b7ab290	Malicious	1	Malicious	controlled_task_objective
cea_g_f6d7e58ea16f11521f57	Malicious	1	Malicious	controlled_task_objective
cea_g_4df37ddc154f0c495da0	Other	0	Normal	controlled_task_objective
cea_g_bd2d0497d61e860167fa	Malicious	1	Malicious	controlled_task_objective
cea_g_a505a94dce24e801f92d	Malicious	1	Malicious	controlled_task_objective
cea_g_00df2b9782375265593a	Other	0	Benign	controlled_task_objective
cea_g_b1f8130423a178e0d312	Malicious	1	Malicious	controlled_task_objective
cea_g_afbfb9de77176c60b69d	Malicious	1	Malicious	controlled_task_objective
cea_g_40a822a9917ed36b4a9f	Malicious	1	Malicious	controlled_task_objective
cea_g_80871f30837e1139ec4a	Other	0	Benign	controlled_task_objective
cea_g_3ced847e705a2e7d3224	Other	0	Benign	controlled_task_objective
cea_g_cc28ae3f30823cebfd72	Malicious	1	Malicious	controlled_task_objective
cea_g_b755497538bfa00b9bf0	Malicious	1	Malicious	controlled_task_objective
cea_g_4483d248c793c50f726c	Malicious	1	Malicious	controlled_task_objective
cea_g_cd313da0d9a67f376b31	Other	0	Normal	controlled_task_objective
cea_g_9a7edc7b2de3a6a255ed	Malicious	1	Malicious	controlled_task_objective
cea_g_db90f30bdfc32a4564cb	Malicious	1	Malicious	controlled_task_objective
cea_g_6691be206b25d5d7abb9	Malicious	1	Malicious	controlled_task_objective
cea_g_3112d4a617b7d772f9db	Other	0	Normal	controlled_task_objective
cea_g_c10d0402792932583c46	Other	0	Benign	controlled_task_objective
cea_g_f6ed4aeed843e3de5a0a	Malicious	1	Malicious	controlled_task_objective
cea_g_48c3448466af726a8d4d	Malicious	1	Malicious	controlled_task_objective
cea_g_efbf7abcc10d6a989686	Malicious	1	Malicious	controlled_task_objective
cea_g_2b8fb6041472dda1b23b	Malicious	1	Malicious	controlled_task_objective
cea_g_4da1d948dd5b9415e703	Malicious	1	Malicious	controlled_task_objective
cea_g_dde7c48b045fb2dffcf1	Other	0	Benign	controlled_task_objective
cea_g_01d90f1765d25ee5b9e7	Other	0	Normal	controlled_task_objective
cea_g_d3bccaa804afffa07679	Malicious	1	Malicious	controlled_task_objective
cea_g_37a5dc428cd9f64094c2	Malicious	1	Malicious	controlled_task_objective
cea_g_5b68ae6dfa2d67b40db4	Malicious	1	Malicious	controlled_task_objective
cea_g_03311be9e5b15f60ad68	Other	0	Normal	controlled_task_objective
cea_g_a84bff60c4a5a41d9235	Other	0	Benign	controlled_task_objective
cea_g_6cae25912cdbae0cc8df	Other	0	Benign	controlled_task_objective
cea_g_e01fe5f5005c8b6885cf	Other	0	Normal	controlled_task_objective
cea_g_855b53809463c012e291	Malicious	1	Malicious	controlled_task_objective
cea_g_cf4034d3141141d419e3	Other	0	Benign	controlled_task_objective
cea_g_2e521f9a6cadbf923403	Malicious	1	Malicious	controlled_task_objective
cea_g_e4cd0e0d38a22c24aca1	Malicious	1	Malicious	controlled_task_objective
cea_g_0fe05d9bb0582ddd9fa7	Other	0	Normal	controlled_task_objective
cea_g_48a26052d4b8f3c32c1e	Other	0	Normal	controlled_task_objective
cea_g_d46af503375cd211354a	Other	0	Normal	controlled_task_objective
cea_g_edb2790408071e487af9	Other	0	Benign	controlled_task_objective
cea_g_f94dba965de7d595e39f	Other	0	Benign	controlled_task_objective
cea_g_11b47b6dc49d01476673	Other	0	Normal	controlled_task_objective
cea_g_01024db4b5ed55a707ed	Other	0	Normal	controlled_task_objective
cea_g_41028e107283e931d49a	Malicious	1	Malicious	controlled_task_objective
cea_g_af64442ac3edcf3e3f97	Malicious	1	Malicious	controlled_task_objective
cea_g_aa69214f0b2b286462bb	Other	0	Normal	controlled_task_objective
cea_g_32ccef9c2f1a7d686f64	Other	0	Normal	controlled_task_objective
cea_g_3573fbe6244b2f25dd07	Other	0	Benign	controlled_task_objective
cea_g_33797800d78d9b36d511	Malicious	1	Malicious	controlled_task_objective
cea_g_f1c4b0feb5e3c440c50d	Malicious	1	Malicious	controlled_task_objective
cea_g_9a95be42af72ef46a3e7	Malicious	1	Malicious	controlled_task_objective
cea_g_a2e7f0e331fcec36ee4d	Other	0	Benign	controlled_task_objective
cea_g_e8f1156e5e372aa0f5a2	Malicious	1	Malicious	controlled_task_objective
cea_g_6901b3e91c7a5ad6b2bf	Malicious	1	Malicious	controlled_task_objective
cea_g_b1bb77db5a9a4558b56c	Other	0	Benign	controlled_task_objective
cea_g_2a51fbb80b4747b1ebe3	Other	0	Benign	controlled_task_objective
cea_g_a74fe3e92f6f5f0172ed	Malicious	1	Malicious	controlled_task_objective
cea_g_912ecf9a458a2abc11f4	Malicious	1	Malicious	controlled_task_objective
cea_g_702364a77d1e7916ed7a	Other	0	Benign	controlled_task_objective
cea_g_caa0cbf53ad8470e7914	Malicious	1	Malicious	controlled_task_objective
cea_g_e2dd57e5a138a79e296f	Malicious	1	Malicious	controlled_task_objective
cea_g_532d0ba8c28a80ea4b4a	Malicious	1	Malicious	controlled_task_objective
cea_g_b37c71396e815b8bc33a	Other	0	Normal	controlled_task_objective
cea_g_a05170527f517c6b1497	Malicious	1	Malicious	controlled_task_objective
cea_g_0e6fa61dbb243b734a19	Malicious	1	Malicious	controlled_task_objective
cea_g_c9656f285276d57119ea	Malicious	1	Malicious	controlled_task_objective
cea_g_e61efc65bb9021912c36	Malicious	1	Malicious	controlled_task_objective
cea_g_309b3dac42663dd842bb	Other	0	Normal	controlled_task_objective
cea_g_a79446611db1f2ccaa3e	Other	0	Normal	controlled_task_objective
cea_g_0b35edfc976fe02947c0	Malicious	1	Malicious	controlled_task_objective
cea_g_fe78a1ada77c9f563ff9	Malicious	1	Malicious	controlled_task_objective
cea_g_62adf451513e9377ea15	Other	0	Normal	controlled_task_objective
cea_g_d6242be0239914444460	Malicious	1	Malicious	controlled_task_objective
cea_g_d19b7d89f13835c290a6	Malicious	1	Malicious	controlled_task_objective
cea_g_27ef04cd12e787e6c4e4	Other	0	Benign	controlled_task_objective
cea_g_b278f0cd90a7af997a9b	Other	0	Benign	controlled_task_objective
cea_g_9748dc13112ec6dbb054	Other	0	Benign	controlled_task_objective
cea_g_1a57817ab4a33759209b	Other	0	Normal	controlled_task_objective
cea_g_313769b8ddecdf410633	Malicious	1	Malicious	controlled_task_objective
